Start date/time,End date/time,Price Germany/Luxembourg [Euro/MWh]
"Oct 2, 2022 4:00 AM","Oct 2, 2022 5:00 AM",59.19
"Oct 2, 2022 5:00 AM","Oct 2, 2022 6:00 AM",59.53
"Oct 2, 2022 6:00 AM","Oct 2, 2022 7:00 AM",59.38
"Oct 2, 2022 7:00 AM","Oct 2, 2022 8:00 AM",59.17
"Oct 2, 2022 8:00 AM","Oct 2, 2022 9:00 AM",85.03
"Oct 2, 2022 9:00 AM","Oct 2, 2022 10:00 AM",92
"Oct 2, 2022 10:00 AM","Oct 2, 2022 11:00 AM",74.15
"Oct 2, 2022 11:00 AM","Oct 2, 2022 12:00 PM",62.08
"Oct 2, 2022 12:00 PM","Oct 2, 2022 1:00 PM",57.47
"Oct 2, 2022 1:00 PM","Oct 2, 2022 2:00 PM",56.37
"Oct 2, 2022 2:00 PM","Oct 2, 2022 3:00 PM",64.55
"Oct 2, 2022 3:00 PM","Oct 2, 2022 4:00 PM",67.01
"Oct 2, 2022 4:00 PM","Oct 2, 2022 5:00 PM",91.36
"Oct 2, 2022 5:00 PM","Oct 2, 2022 6:00 PM",192.05
"Oct 2, 2022 6:00 PM","Oct 2, 2022 7:00 PM",280
"Oct 2, 2022 7:00 PM","Oct 2, 2022 8:00 PM",311.72
"Oct 2, 2022 8:00 PM","Oct 2, 2022 9:00 PM",289.98
"Oct 2, 2022 9:00 PM","Oct 2, 2022 10:00 PM",230.47
"Oct 2, 2022 10:00 PM","Oct 2, 2022 11:00 PM",162.7
"Oct 2, 2022 11:00 PM","Oct 3, 2022 12:00 AM",150.92
"Oct 3, 2022 12:00 AM","Oct 3, 2022 1:00 AM",80.84
"Oct 3, 2022 1:00 AM","Oct 3, 2022 2:00 AM",94.04
"Oct 3, 2022 2:00 AM","Oct 3, 2022 3:00 AM",82.92
"Oct 3, 2022 3:00 AM","Oct 3, 2022 4:00 AM",84.27
"Oct 3, 2022 4:00 AM","Oct 3, 2022 5:00 AM",95.21
"Oct 3, 2022 5:00 AM","Oct 3, 2022 6:00 AM",126.95
"Oct 3, 2022 6:00 AM","Oct 3, 2022 7:00 AM",192.68
"Oct 3, 2022 7:00 AM","Oct 3, 2022 8:00 AM",279.94
"Oct 3, 2022 8:00 AM","Oct 3, 2022 9:00 AM",304.1
"Oct 3, 2022 9:00 AM","Oct 3, 2022 10:00 AM",243.02
"Oct 3, 2022 10:00 AM","Oct 3, 2022 11:00 AM",193.73
"Oct 3, 2022 11:00 AM","Oct 3, 2022 12:00 PM",117.1
"Oct 3, 2022 12:00 PM","Oct 3, 2022 1:00 PM",100
"Oct 3, 2022 1:00 PM","Oct 3, 2022 2:00 PM",121.96
"Oct 3, 2022 2:00 PM","Oct 3, 2022 3:00 PM",83.43
"Oct 3, 2022 3:00 PM","Oct 3, 2022 4:00 PM",140.3
"Oct 3, 2022 4:00 PM","Oct 3, 2022 5:00 PM",204.07
"Oct 3, 2022 5:00 PM","Oct 3, 2022 6:00 PM",322.59
"Oct 3, 2022 6:00 PM","Oct 3, 2022 7:00 PM",391.11
"Oct 3, 2022 7:00 PM","Oct 3, 2022 8:00 PM",466.62
"Oct 3, 2022 8:00 PM","Oct 3, 2022 9:00 PM",379.85
"Oct 3, 2022 9:00 PM","Oct 3, 2022 10:00 PM",321.3
"Oct 3, 2022 10:00 PM","Oct 3, 2022 11:00 PM",318.42
"Oct 3, 2022 11:00 PM","Oct 4, 2022 12:00 AM",279.93
"Oct 4, 2022 12:00 AM","Oct 4, 2022 1:00 AM",205.48
"Oct 4, 2022 1:00 AM","Oct 4, 2022 2:00 AM",188.59
"Oct 4, 2022 2:00 AM","Oct 4, 2022 3:00 AM",187.67
"Oct 4, 2022 3:00 AM","Oct 4, 2022 4:00 AM",169.1
"Oct 4, 2022 4:00 AM","Oct 4, 2022 5:00 AM",187.69
"Oct 4, 2022 5:00 AM","Oct 4, 2022 6:00 AM",196.92
"Oct 4, 2022 6:00 AM","Oct 4, 2022 7:00 AM",329.97
"Oct 4, 2022 7:00 AM","Oct 4, 2022 8:00 AM",427.5
"Oct 4, 2022 8:00 AM","Oct 4, 2022 9:00 AM",497.39
"Oct 4, 2022 9:00 AM","Oct 4, 2022 10:00 AM",317.09
"Oct 4, 2022 10:00 AM","Oct 4, 2022 11:00 AM",258.9
"Oct 4, 2022 11:00 AM","Oct 4, 2022 12:00 PM",217.24
"Oct 4, 2022 12:00 PM","Oct 4, 2022 1:00 PM",161.91
"Oct 4, 2022 1:00 PM","Oct 4, 2022 2:00 PM",150.69
"Oct 4, 2022 2:00 PM","Oct 4, 2022 3:00 PM",140.07
"Oct 4, 2022 3:00 PM","Oct 4, 2022 4:00 PM",144.08
"Oct 4, 2022 4:00 PM","Oct 4, 2022 5:00 PM",182.98
"Oct 4, 2022 5:00 PM","Oct 4, 2022 6:00 PM",261.1
"Oct 4, 2022 6:00 PM","Oct 4, 2022 7:00 PM",376.44
"Oct 4, 2022 7:00 PM","Oct 4, 2022 8:00 PM",447.11
"Oct 4, 2022 8:00 PM","Oct 4, 2022 9:00 PM",319.09
"Oct 4, 2022 9:00 PM","Oct 4, 2022 10:00 PM",229.25
"Oct 4, 2022 10:00 PM","Oct 4, 2022 11:00 PM",176.97
"Oct 4, 2022 11:00 PM","Oct 5, 2022 12:00 AM",138.12
"Oct 5, 2022 12:00 AM","Oct 5, 2022 1:00 AM",139.99
"Oct 5, 2022 1:00 AM","Oct 5, 2022 2:00 AM",103.36
"Oct 5, 2022 2:00 AM","Oct 5, 2022 3:00 AM",96.27
"Oct 5, 2022 3:00 AM","Oct 5, 2022 4:00 AM",89.09
"Oct 5, 2022 4:00 AM","Oct 5, 2022 5:00 AM",109.9
"Oct 5, 2022 5:00 AM","Oct 5, 2022 6:00 AM",82.67
"Oct 5, 2022 6:00 AM","Oct 5, 2022 7:00 AM",178
"Oct 5, 2022 7:00 AM","Oct 5, 2022 8:00 AM",226.24
"Oct 5, 2022 8:00 AM","Oct 5, 2022 9:00 AM",225
"Oct 5, 2022 9:00 AM","Oct 5, 2022 10:00 AM",190.5
"Oct 5, 2022 10:00 AM","Oct 5, 2022 11:00 AM",107.23
"Oct 5, 2022 11:00 AM","Oct 5, 2022 12:00 PM",58.01
"Oct 5, 2022 12:00 PM","Oct 5, 2022 1:00 PM",36.23
"Oct 5, 2022 1:00 PM","Oct 5, 2022 2:00 PM",3.91
"Oct 5, 2022 2:00 PM","Oct 5, 2022 3:00 PM",0.38
"Oct 5, 2022 3:00 PM","Oct 5, 2022 4:00 PM",12.46
"Oct 5, 2022 4:00 PM","Oct 5, 2022 5:00 PM",59.83
"Oct 5, 2022 5:00 PM","Oct 5, 2022 6:00 PM",112.43
"Oct 5, 2022 6:00 PM","Oct 5, 2022 7:00 PM",183.75
"Oct 5, 2022 7:00 PM","Oct 5, 2022 8:00 PM",170.06
"Oct 5, 2022 8:00 PM","Oct 5, 2022 9:00 PM",108.51
"Oct 5, 2022 9:00 PM","Oct 5, 2022 10:00 PM",63.84
"Oct 5, 2022 10:00 PM","Oct 5, 2022 11:00 PM",63.92
"Oct 5, 2022 11:00 PM","Oct 6, 2022 12:00 AM",54.98
"Oct 6, 2022 12:00 AM","Oct 6, 2022 1:00 AM",0.93
"Oct 6, 2022 1:00 AM","Oct 6, 2022 2:00 AM",0.39
"Oct 6, 2022 2:00 AM","Oct 6, 2022 3:00 AM",0.1
"Oct 6, 2022 3:00 AM","Oct 6, 2022 4:00 AM",0.49
"Oct 6, 2022 4:00 AM","Oct 6, 2022 5:00 AM",0.5
"Oct 6, 2022 5:00 AM","Oct 6, 2022 6:00 AM",36.01
"Oct 6, 2022 6:00 AM","Oct 6, 2022 7:00 AM",90.1
"Oct 6, 2022 7:00 AM","Oct 6, 2022 8:00 AM",148.09
"Oct 6, 2022 8:00 AM","Oct 6, 2022 9:00 AM",149.11
"Oct 6, 2022 9:00 AM","Oct 6, 2022 10:00 AM",72.97
"Oct 6, 2022 10:00 AM","Oct 6, 2022 11:00 AM",62.9
"Oct 6, 2022 11:00 AM","Oct 6, 2022 12:00 PM",9.23
"Oct 6, 2022 12:00 PM","Oct 6, 2022 1:00 PM",8.54
"Oct 6, 2022 1:00 PM","Oct 6, 2022 2:00 PM",9.04
"Oct 6, 2022 2:00 PM","Oct 6, 2022 3:00 PM",33.29
"Oct 6, 2022 3:00 PM","Oct 6, 2022 4:00 PM",61.25
"Oct 6, 2022 4:00 PM","Oct 6, 2022 5:00 PM",72.65
"Oct 6, 2022 5:00 PM","Oct 6, 2022 6:00 PM",190.83
"Oct 6, 2022 6:00 PM","Oct 6, 2022 7:00 PM",297.27
"Oct 6, 2022 7:00 PM","Oct 6, 2022 8:00 PM",360.08
"Oct 6, 2022 8:00 PM","Oct 6, 2022 9:00 PM",274.09
"Oct 6, 2022 9:00 PM","Oct 6, 2022 10:00 PM",190.56
"Oct 6, 2022 10:00 PM","Oct 6, 2022 11:00 PM",175.38
"Oct 6, 2022 11:00 PM","Oct 7, 2022 12:00 AM",175.37
"Oct 7, 2022 12:00 AM","Oct 7, 2022 1:00 AM",178.95
"Oct 7, 2022 1:00 AM","Oct 7, 2022 2:00 AM",145.4
"Oct 7, 2022 2:00 AM","Oct 7, 2022 3:00 AM",145.73
"Oct 7, 2022 3:00 AM","Oct 7, 2022 4:00 AM",148.52
"Oct 7, 2022 4:00 AM","Oct 7, 2022 5:00 AM",151
"Oct 7, 2022 5:00 AM","Oct 7, 2022 6:00 AM",172.83
"Oct 7, 2022 6:00 AM","Oct 7, 2022 7:00 AM",209.57
"Oct 7, 2022 7:00 AM","Oct 7, 2022 8:00 AM",301.66
"Oct 7, 2022 8:00 AM","Oct 7, 2022 9:00 AM",250.11
"Oct 7, 2022 9:00 AM","Oct 7, 2022 10:00 AM",188.96
"Oct 7, 2022 10:00 AM","Oct 7, 2022 11:00 AM",160.65
"Oct 7, 2022 11:00 AM","Oct 7, 2022 12:00 PM",76.4
"Oct 7, 2022 12:00 PM","Oct 7, 2022 1:00 PM",66.64
"Oct 7, 2022 1:00 PM","Oct 7, 2022 2:00 PM",64.02
"Oct 7, 2022 2:00 PM","Oct 7, 2022 3:00 PM",64.9
"Oct 7, 2022 3:00 PM","Oct 7, 2022 4:00 PM",72.71
"Oct 7, 2022 4:00 PM","Oct 7, 2022 5:00 PM",143.89
"Oct 7, 2022 5:00 PM","Oct 7, 2022 6:00 PM",205.28
"Oct 7, 2022 6:00 PM","Oct 7, 2022 7:00 PM",252.56
"Oct 7, 2022 7:00 PM","Oct 7, 2022 8:00 PM",289.47
"Oct 7, 2022 8:00 PM","Oct 7, 2022 9:00 PM",197.57
"Oct 7, 2022 9:00 PM","Oct 7, 2022 10:00 PM",155.02
"Oct 7, 2022 10:00 PM","Oct 7, 2022 11:00 PM",169.49
"Oct 7, 2022 11:00 PM","Oct 8, 2022 12:00 AM",122.03
"Oct 8, 2022 12:00 AM","Oct 8, 2022 1:00 AM",131.32
"Oct 8, 2022 1:00 AM","Oct 8, 2022 2:00 AM",114.67
"Oct 8, 2022 2:00 AM","Oct 8, 2022 3:00 AM",117.62
"Oct 8, 2022 3:00 AM","Oct 8, 2022 4:00 AM",121.91
"Oct 8, 2022 4:00 AM","Oct 8, 2022 5:00 AM",119.99
"Oct 8, 2022 5:00 AM","Oct 8, 2022 6:00 AM",130.05
"Oct 8, 2022 6:00 AM","Oct 8, 2022 7:00 AM",116.89
"Oct 8, 2022 7:00 AM","Oct 8, 2022 8:00 AM",142.86
"Oct 8, 2022 8:00 AM","Oct 8, 2022 9:00 AM",167.72
"Oct 8, 2022 9:00 AM","Oct 8, 2022 10:00 AM",191.09
"Oct 8, 2022 10:00 AM","Oct 8, 2022 11:00 AM",165.29
"Oct 8, 2022 11:00 AM","Oct 8, 2022 12:00 PM",106.03
"Oct 8, 2022 12:00 PM","Oct 8, 2022 1:00 PM",68.36
"Oct 8, 2022 1:00 PM","Oct 8, 2022 2:00 PM",49.58
"Oct 8, 2022 2:00 PM","Oct 8, 2022 3:00 PM",45.91
"Oct 8, 2022 3:00 PM","Oct 8, 2022 4:00 PM",78.34
"Oct 8, 2022 4:00 PM","Oct 8, 2022 5:00 PM",76.42
"Oct 8, 2022 5:00 PM","Oct 8, 2022 6:00 PM",166.4
"Oct 8, 2022 6:00 PM","Oct 8, 2022 7:00 PM",244.64
"Oct 8, 2022 7:00 PM","Oct 8, 2022 8:00 PM",302.03
"Oct 8, 2022 8:00 PM","Oct 8, 2022 9:00 PM",229.95
"Oct 8, 2022 9:00 PM","Oct 8, 2022 10:00 PM",231.06
"Oct 8, 2022 10:00 PM","Oct 8, 2022 11:00 PM",189.32
"Oct 8, 2022 11:00 PM","Oct 9, 2022 12:00 AM",180.66
"Oct 9, 2022 12:00 AM","Oct 9, 2022 1:00 AM",216.13
"Oct 9, 2022 1:00 AM","Oct 9, 2022 2:00 AM",195.02
"Oct 9, 2022 2:00 AM","Oct 9, 2022 3:00 AM",189.41
"Oct 9, 2022 3:00 AM","Oct 9, 2022 4:00 AM",162.1
"Oct 9, 2022 4:00 AM","Oct 9, 2022 5:00 AM",141.95
"Oct 9, 2022 5:00 AM","Oct 9, 2022 6:00 AM",147.12
"Oct 9, 2022 6:00 AM","Oct 9, 2022 7:00 AM",153
"Oct 9, 2022 7:00 AM","Oct 9, 2022 8:00 AM",195.68
"Oct 9, 2022 8:00 AM","Oct 9, 2022 9:00 AM",196.7
"Oct 9, 2022 9:00 AM","Oct 9, 2022 10:00 AM",150.85
"Oct 9, 2022 10:00 AM","Oct 9, 2022 11:00 AM",116
"Oct 9, 2022 11:00 AM","Oct 9, 2022 12:00 PM",87.69
"Oct 9, 2022 12:00 PM","Oct 9, 2022 1:00 PM",60.1
"Oct 9, 2022 1:00 PM","Oct 9, 2022 2:00 PM",51.6
"Oct 9, 2022 2:00 PM","Oct 9, 2022 3:00 PM",56.51
"Oct 9, 2022 3:00 PM","Oct 9, 2022 4:00 PM",80.09
"Oct 9, 2022 4:00 PM","Oct 9, 2022 5:00 PM",132.38
"Oct 9, 2022 5:00 PM","Oct 9, 2022 6:00 PM",183.08
"Oct 9, 2022 6:00 PM","Oct 9, 2022 7:00 PM",198.84
"Oct 9, 2022 7:00 PM","Oct 9, 2022 8:00 PM",258.74
"Oct 9, 2022 8:00 PM","Oct 9, 2022 9:00 PM",178.58
"Oct 9, 2022 9:00 PM","Oct 9, 2022 10:00 PM",147.61
"Oct 9, 2022 10:00 PM","Oct 9, 2022 11:00 PM",122.35
"Oct 9, 2022 11:00 PM","Oct 10, 2022 12:00 AM",99.86
"Oct 10, 2022 12:00 AM","Oct 10, 2022 1:00 AM",69.37
"Oct 10, 2022 1:00 AM","Oct 10, 2022 2:00 AM",70.87
"Oct 10, 2022 2:00 AM","Oct 10, 2022 3:00 AM",70.83
"Oct 10, 2022 3:00 AM","Oct 10, 2022 4:00 AM",70.89
"Oct 10, 2022 4:00 AM","Oct 10, 2022 5:00 AM",80.67
"Oct 10, 2022 5:00 AM","Oct 10, 2022 6:00 AM",141.4
"Oct 10, 2022 6:00 AM","Oct 10, 2022 7:00 AM",167.79
"Oct 10, 2022 7:00 AM","Oct 10, 2022 8:00 AM",227.26
"Oct 10, 2022 8:00 AM","Oct 10, 2022 9:00 AM",266.36
"Oct 10, 2022 9:00 AM","Oct 10, 2022 10:00 AM",217.18
"Oct 10, 2022 10:00 AM","Oct 10, 2022 11:00 AM",165.03
"Oct 10, 2022 11:00 AM","Oct 10, 2022 12:00 PM",160.58
"Oct 10, 2022 12:00 PM","Oct 10, 2022 1:00 PM",133.46
"Oct 10, 2022 1:00 PM","Oct 10, 2022 2:00 PM",131.08
"Oct 10, 2022 2:00 PM","Oct 10, 2022 3:00 PM",131.17
"Oct 10, 2022 3:00 PM","Oct 10, 2022 4:00 PM",139.37
"Oct 10, 2022 4:00 PM","Oct 10, 2022 5:00 PM",158.86
"Oct 10, 2022 5:00 PM","Oct 10, 2022 6:00 PM",210.58
"Oct 10, 2022 6:00 PM","Oct 10, 2022 7:00 PM",247.81
"Oct 10, 2022 7:00 PM","Oct 10, 2022 8:00 PM",276.74
"Oct 10, 2022 8:00 PM","Oct 10, 2022 9:00 PM",227.97
"Oct 10, 2022 9:00 PM","Oct 10, 2022 10:00 PM",197.78
"Oct 10, 2022 10:00 PM","Oct 10, 2022 11:00 PM",167.77
"Oct 10, 2022 11:00 PM","Oct 11, 2022 12:00 AM",159.34
"Oct 11, 2022 12:00 AM","Oct 11, 2022 1:00 AM",155
"Oct 11, 2022 1:00 AM","Oct 11, 2022 2:00 AM",174.3
"Oct 11, 2022 2:00 AM","Oct 11, 2022 3:00 AM",174.3
"Oct 11, 2022 3:00 AM","Oct 11, 2022 4:00 AM",171.54
"Oct 11, 2022 4:00 AM","Oct 11, 2022 5:00 AM",170.13
"Oct 11, 2022 5:00 AM","Oct 11, 2022 6:00 AM",169.2
"Oct 11, 2022 6:00 AM","Oct 11, 2022 7:00 AM",253.98
"Oct 11, 2022 7:00 AM","Oct 11, 2022 8:00 AM",299.91
"Oct 11, 2022 8:00 AM","Oct 11, 2022 9:00 AM",348.98
"Oct 11, 2022 9:00 AM","Oct 11, 2022 10:00 AM",300.72
"Oct 11, 2022 10:00 AM","Oct 11, 2022 11:00 AM",258.72
"Oct 11, 2022 11:00 AM","Oct 11, 2022 12:00 PM",239.35
"Oct 11, 2022 12:00 PM","Oct 11, 2022 1:00 PM",206.75
"Oct 11, 2022 1:00 PM","Oct 11, 2022 2:00 PM",203.35
"Oct 11, 2022 2:00 PM","Oct 11, 2022 3:00 PM",207.92
"Oct 11, 2022 3:00 PM","Oct 11, 2022 4:00 PM",225.26
"Oct 11, 2022 4:00 PM","Oct 11, 2022 5:00 PM",258.95
"Oct 11, 2022 5:00 PM","Oct 11, 2022 6:00 PM",323.9
"Oct 11, 2022 6:00 PM","Oct 11, 2022 7:00 PM",442.72
"Oct 11, 2022 7:00 PM","Oct 11, 2022 8:00 PM",484.75
"Oct 11, 2022 8:00 PM","Oct 11, 2022 9:00 PM",351.65
"Oct 11, 2022 9:00 PM","Oct 11, 2022 10:00 PM",295.02
"Oct 11, 2022 10:00 PM","Oct 11, 2022 11:00 PM",262.03
"Oct 11, 2022 11:00 PM","Oct 12, 2022 12:00 AM",258.54
"Oct 12, 2022 12:00 AM","Oct 12, 2022 1:00 AM",236.57
"Oct 12, 2022 1:00 AM","Oct 12, 2022 2:00 AM",222.21
"Oct 12, 2022 2:00 AM","Oct 12, 2022 3:00 AM",207.56
"Oct 12, 2022 3:00 AM","Oct 12, 2022 4:00 AM",198.99
"Oct 12, 2022 4:00 AM","Oct 12, 2022 5:00 AM",219.9
"Oct 12, 2022 5:00 AM","Oct 12, 2022 6:00 AM",240.68
"Oct 12, 2022 6:00 AM","Oct 12, 2022 7:00 AM",307.75
"Oct 12, 2022 7:00 AM","Oct 12, 2022 8:00 AM",480.12
"Oct 12, 2022 8:00 AM","Oct 12, 2022 9:00 AM",479.3
"Oct 12, 2022 9:00 AM","Oct 12, 2022 10:00 AM",334.03
"Oct 12, 2022 10:00 AM","Oct 12, 2022 11:00 AM",283.73
"Oct 12, 2022 11:00 AM","Oct 12, 2022 12:00 PM",232.08
"Oct 12, 2022 12:00 PM","Oct 12, 2022 1:00 PM",213.64
"Oct 12, 2022 1:00 PM","Oct 12, 2022 2:00 PM",217.9
"Oct 12, 2022 2:00 PM","Oct 12, 2022 3:00 PM",217.58
"Oct 12, 2022 3:00 PM","Oct 12, 2022 4:00 PM",224.31
"Oct 12, 2022 4:00 PM","Oct 12, 2022 5:00 PM",241.53
"Oct 12, 2022 5:00 PM","Oct 12, 2022 6:00 PM",295.09
"Oct 12, 2022 6:00 PM","Oct 12, 2022 7:00 PM",378.4
"Oct 12, 2022 7:00 PM","Oct 12, 2022 8:00 PM",479.97
"Oct 12, 2022 8:00 PM","Oct 12, 2022 9:00 PM",324.38
"Oct 12, 2022 9:00 PM","Oct 12, 2022 10:00 PM",273.02
"Oct 12, 2022 10:00 PM","Oct 12, 2022 11:00 PM",243.55
"Oct 12, 2022 11:00 PM","Oct 13, 2022 12:00 AM",228.57
"Oct 13, 2022 12:00 AM","Oct 13, 2022 1:00 AM",218.66
"Oct 13, 2022 1:00 AM","Oct 13, 2022 2:00 AM",210
"Oct 13, 2022 2:00 AM","Oct 13, 2022 3:00 AM",193.8
"Oct 13, 2022 3:00 AM","Oct 13, 2022 4:00 AM",182.96
"Oct 13, 2022 4:00 AM","Oct 13, 2022 5:00 AM",195.02
"Oct 13, 2022 5:00 AM","Oct 13, 2022 6:00 AM",218.46
"Oct 13, 2022 6:00 AM","Oct 13, 2022 7:00 AM",257.47
"Oct 13, 2022 7:00 AM","Oct 13, 2022 8:00 AM",285.81
"Oct 13, 2022 8:00 AM","Oct 13, 2022 9:00 AM",332.53
"Oct 13, 2022 9:00 AM","Oct 13, 2022 10:00 AM",301.56
"Oct 13, 2022 10:00 AM","Oct 13, 2022 11:00 AM",280.05
"Oct 13, 2022 11:00 AM","Oct 13, 2022 12:00 PM",277.7
"Oct 13, 2022 12:00 PM","Oct 13, 2022 1:00 PM",262.7
"Oct 13, 2022 1:00 PM","Oct 13, 2022 2:00 PM",254.99
"Oct 13, 2022 2:00 PM","Oct 13, 2022 3:00 PM",255
"Oct 13, 2022 3:00 PM","Oct 13, 2022 4:00 PM",263.58
"Oct 13, 2022 4:00 PM","Oct 13, 2022 5:00 PM",267.05
"Oct 13, 2022 5:00 PM","Oct 13, 2022 6:00 PM",292.35
"Oct 13, 2022 6:00 PM","Oct 13, 2022 7:00 PM",319.66
"Oct 13, 2022 7:00 PM","Oct 13, 2022 8:00 PM",343.7
"Oct 13, 2022 8:00 PM","Oct 13, 2022 9:00 PM",290.1
"Oct 13, 2022 9:00 PM","Oct 13, 2022 10:00 PM",248.54
"Oct 13, 2022 10:00 PM","Oct 13, 2022 11:00 PM",225.19
"Oct 13, 2022 11:00 PM","Oct 14, 2022 12:00 AM",202.06
"Oct 14, 2022 12:00 AM","Oct 14, 2022 1:00 AM",231.32
"Oct 14, 2022 1:00 AM","Oct 14, 2022 2:00 AM",219.6
"Oct 14, 2022 2:00 AM","Oct 14, 2022 3:00 AM",212.12
"Oct 14, 2022 3:00 AM","Oct 14, 2022 4:00 AM",211.62
"Oct 14, 2022 4:00 AM","Oct 14, 2022 5:00 AM",218.92
"Oct 14, 2022 5:00 AM","Oct 14, 2022 6:00 AM",229.49
"Oct 14, 2022 6:00 AM","Oct 14, 2022 7:00 AM",278.37
"Oct 14, 2022 7:00 AM","Oct 14, 2022 8:00 AM",350
"Oct 14, 2022 8:00 AM","Oct 14, 2022 9:00 AM",412.65
"Oct 14, 2022 9:00 AM","Oct 14, 2022 10:00 AM",327.39
"Oct 14, 2022 10:00 AM","Oct 14, 2022 11:00 AM",297.26
"Oct 14, 2022 11:00 AM","Oct 14, 2022 12:00 PM",282.41
"Oct 14, 2022 12:00 PM","Oct 14, 2022 1:00 PM",262.01
"Oct 14, 2022 1:00 PM","Oct 14, 2022 2:00 PM",238.37
"Oct 14, 2022 2:00 PM","Oct 14, 2022 3:00 PM",221.42
"Oct 14, 2022 3:00 PM","Oct 14, 2022 4:00 PM",242.69
"Oct 14, 2022 4:00 PM","Oct 14, 2022 5:00 PM",258.6
"Oct 14, 2022 5:00 PM","Oct 14, 2022 6:00 PM",274
"Oct 14, 2022 6:00 PM","Oct 14, 2022 7:00 PM",290
"Oct 14, 2022 7:00 PM","Oct 14, 2022 8:00 PM",299.3
"Oct 14, 2022 8:00 PM","Oct 14, 2022 9:00 PM",266.99
"Oct 14, 2022 9:00 PM","Oct 14, 2022 10:00 PM",217.94
