Start date,End date,Germany/Luxembourg [?/MWh],,,,,,,,,,,,,,,,
"Feb 10, 2025 7:00 PM","Feb 10, 2025 8:00 PM",114.85,,,,,,,,,,,,,,,,
"Feb 10, 2025 8:00 PM","Feb 10, 2025 9:00 PM",94.37,,,,,,,,,,,,,,,,
"Feb 10, 2025 9:00 PM","Feb 10, 2025 10:00 PM",91.48,,,,,,,,,,,,,,,,
"Feb 10, 2025 10:00 PM","Feb 10, 2025 11:00 PM",88.87,,,,,,,,,,,,,,,,
"Feb 10, 2025 11:00 PM","Feb 11, 2025 12:00 AM",87.38,,,,,,,,,,,,,,,,
"Feb 11, 2025 12:00 AM","Feb 11, 2025 1:00 AM",77.45,,,,,,,,,,,,,,,,
"Feb 11, 2025 1:00 AM","Feb 11, 2025 2:00 AM",71.10,,,,,,,,,,,,,,,,
"Feb 11, 2025 2:00 AM","Feb 11, 2025 3:00 AM",71.62,,,,,,,,,,,,,,,,
"Feb 11, 2025 3:00 AM","Feb 11, 2025 4:00 AM",74.89,,,,,,,,,,,,,,,,
"Feb 11, 2025 4:00 AM","Feb 11, 2025 5:00 AM",77.45,,,,,,,,,,,,,,,,
"Feb 11, 2025 5:00 AM","Feb 11, 2025 6:00 AM",87.44,,,,,,,,,,,,,,,,
"Feb 11, 2025 6:00 AM","Feb 11, 2025 7:00 AM",100.46,,,,,,,,,,,,,,,,
"Feb 11, 2025 7:00 AM","Feb 11, 2025 8:00 AM",134.93,,,,,,,,,,,,,,,,
"Feb 11, 2025 8:00 AM","Feb 11, 2025 9:00 AM",155.53,,,,,,,,,,,,,,,,
"Feb 11, 2025 9:00 AM","Feb 11, 2025 10:00 AM",141.42,,,,,,,,,,,,,,,,
"Feb 11, 2025 10:00 AM","Feb 11, 2025 11:00 AM",96.65,,,,,,,,,,,,,,,,
"Feb 11, 2025 11:00 AM","Feb 11, 2025 12:00 PM",92.78,,,,,,,,,,,,,,,,
"Feb 11, 2025 12:00 PM","Feb 11, 2025 1:00 PM",97.68,,,,,,,,,,,,,,,,
"Feb 11, 2025 1:00 PM","Feb 11, 2025 2:00 PM",111.11,,,,,,,,,,,,,,,,
"Feb 11, 2025 2:00 PM","Feb 11, 2025 3:00 PM",123.46,,,,,,,,,,,,,,,,
"Feb 11, 2025 3:00 PM","Feb 11, 2025 4:00 PM",143.69,,,,,,,,,,,,,,,,
"Feb 11, 2025 4:00 PM","Feb 11, 2025 5:00 PM",144.47,,,,,,,,,,,,,,,,
"Feb 11, 2025 5:00 PM","Feb 11, 2025 6:00 PM",159.97,,,,,,,,,,,,,,,,
"Feb 11, 2025 6:00 PM","Feb 11, 2025 7:00 PM",168.19,,,,,,,,,,,,,,,,
"Feb 11, 2025 7:00 PM","Feb 11, 2025 8:00 PM",167.45,,,,,,,,,,,,,,,,
"Feb 11, 2025 8:00 PM","Feb 11, 2025 9:00 PM",162.63,,,,,,,,,,,,,,,,
"Feb 11, 2025 9:00 PM","Feb 11, 2025 10:00 PM",148.75,,,,,,,,,,,,,,,,
"Feb 11, 2025 10:00 PM","Feb 11, 2025 11:00 PM",142.95,,,,,,,,,,,,,,,,
"Feb 11, 2025 11:00 PM","Feb 12, 2025 12:00 AM",128.24,,,,,,,,,,,,,,,,
"Feb 12, 2025 12:00 AM","Feb 12, 2025 1:00 AM",129.13,,,,,,,,,,,,,,,,
"Feb 12, 2025 1:00 AM","Feb 12, 2025 2:00 AM",127.77,,,,,,,,,,,,,,,,
"Feb 12, 2025 2:00 AM","Feb 12, 2025 3:00 AM",126.82,,,,,,,,,,,,,,,,
"Feb 12, 2025 3:00 AM","Feb 12, 2025 4:00 AM",126.59,,,,,,,,,,,,,,,,
"Feb 12, 2025 4:00 AM","Feb 12, 2025 5:00 AM",128.74,,,,,,,,,,,,,,,,
"Feb 12, 2025 5:00 AM","Feb 12, 2025 6:00 AM",131.24,,,,,,,,,,,,,,,,
"Feb 12, 2025 6:00 AM","Feb 12, 2025 7:00 AM",151.13,,,,,,,,,,,,,,,,
"Feb 12, 2025 7:00 AM","Feb 12, 2025 8:00 AM",163.64,,,,,,,,,,,,,,,,
"Feb 12, 2025 8:00 AM","Feb 12, 2025 9:00 AM",180.00,,,,,,,,,,,,,,,,
"Feb 12, 2025 9:00 AM","Feb 12, 2025 10:00 AM",174.92,,,,,,,,,,,,,,,,
"Feb 12, 2025 10:00 AM","Feb 12, 2025 11:00 AM",162.05,,,,,,,,,,,,,,,,
"Feb 12, 2025 11:00 AM","Feb 12, 2025 12:00 PM",144.01,,,,,,,,,,,,,,,,
"Feb 12, 2025 12:00 PM","Feb 12, 2025 1:00 PM",137.28,,,,,,,,,,,,,,,,
"Feb 12, 2025 1:00 PM","Feb 12, 2025 2:00 PM",142.03,,,,,,,,,,,,,,,,
"Feb 12, 2025 2:00 PM","Feb 12, 2025 3:00 PM",149.40,,,,,,,,,,,,,,,,
"Feb 12, 2025 3:00 PM","Feb 12, 2025 4:00 PM",159.67,,,,,,,,,,,,,,,,
"Feb 12, 2025 4:00 PM","Feb 12, 2025 5:00 PM",173.21,,,,,,,,,,,,,,,,
"Feb 12, 2025 5:00 PM","Feb 12, 2025 6:00 PM",184.59,,,,,,,,,,,,,,,,
"Feb 12, 2025 6:00 PM","Feb 12, 2025 7:00 PM",197.13,,,,,,,,,,,,,,,,
"Feb 12, 2025 7:00 PM","Feb 12, 2025 8:00 PM",192.57,,,,,,,,,,,,,,,,
"Feb 12, 2025 8:00 PM","Feb 12, 2025 9:00 PM",173.90,,,,,,,,,,,,,,,,
"Feb 12, 2025 9:00 PM","Feb 12, 2025 10:00 PM",155.78,,,,,,,,,,,,,,,,
"Feb 12, 2025 10:00 PM","Feb 12, 2025 11:00 PM",150.38,,,,,,,,,,,,,,,,
"Feb 12, 2025 11:00 PM","Feb 13, 2025 12:00 AM",141.81,,,,,,,,,,,,,,,,
"Feb 13, 2025 12:00 AM","Feb 13, 2025 1:00 AM",140.33,,,,,,,,,,,,,,,,
"Feb 13, 2025 1:00 AM","Feb 13, 2025 2:00 AM",137.75,,,,,,,,,,,,,,,,
"Feb 13, 2025 2:00 AM","Feb 13, 2025 3:00 AM",140.79,,,,,,,,,,,,,,,,
"Feb 13, 2025 3:00 AM","Feb 13, 2025 4:00 AM",136.59,,,,,,,,,,,,,,,,
"Feb 13, 2025 4:00 AM","Feb 13, 2025 5:00 AM",140.00,,,,,,,,,,,,,,,,
"Feb 13, 2025 5:00 AM","Feb 13, 2025 6:00 AM",142.00,,,,,,,,,,,,,,,,
"Feb 13, 2025 6:00 AM","Feb 13, 2025 7:00 AM",159.99,,,,,,,,,,,,,,,,
"Feb 13, 2025 7:00 AM","Feb 13, 2025 8:00 AM",190.33,,,,,,,,,,,,,,,,
"Feb 13, 2025 8:00 AM","Feb 13, 2025 9:00 AM",222.36,,,,,,,,,,,,,,,,
"Feb 13, 2025 9:00 AM","Feb 13, 2025 10:00 AM",220.05,,,,,,,,,,,,,,,,
"Feb 13, 2025 10:00 AM","Feb 13, 2025 11:00 AM",203.89,,,,,,,,,,,,,,,,
"Feb 13, 2025 11:00 AM","Feb 13, 2025 12:00 PM",184.68,,,,,,,,,,,,,,,,
"Feb 13, 2025 12:00 PM","Feb 13, 2025 1:00 PM",174.52,,,,,,,,,,,,,,,,
"Feb 13, 2025 1:00 PM","Feb 13, 2025 2:00 PM",170.10,,,,,,,,,,,,,,,,
"Feb 13, 2025 2:00 PM","Feb 13, 2025 3:00 PM",166.70,,,,,,,,,,,,,,,,
"Feb 13, 2025 3:00 PM","Feb 13, 2025 4:00 PM",170.10,,,,,,,,,,,,,,,,
"Feb 13, 2025 4:00 PM","Feb 13, 2025 5:00 PM",182.00,,,,,,,,,,,,,,,,
"Feb 13, 2025 5:00 PM","Feb 13, 2025 6:00 PM",213.05,,,,,,,,,,,,,,,,
"Feb 13, 2025 6:00 PM","Feb 13, 2025 7:00 PM",207.17,,,,,,,,,,,,,,,,
"Feb 13, 2025 7:00 PM","Feb 13, 2025 8:00 PM",196.52,,,,,,,,,,,,,,,,
"Feb 13, 2025 8:00 PM","Feb 13, 2025 9:00 PM",177.03,,,,,,,,,,,,,,,,
"Feb 13, 2025 9:00 PM","Feb 13, 2025 10:00 PM",162.92,,,,,,,,,,,,,,,,
"Feb 13, 2025 10:00 PM","Feb 13, 2025 11:00 PM",153.12,,,,,,,,,,,,,,,,
"Feb 13, 2025 11:00 PM","Feb 14, 2025 12:00 AM",138.97,,,,,,,,,,,,,,,,
"Feb 14, 2025 12:00 AM","Feb 14, 2025 1:00 AM",139.21,,,,,,,,,,,,,,,,
"Feb 14, 2025 1:00 AM","Feb 14, 2025 2:00 AM",132.80,,,,,,,,,,,,,,,,
"Feb 14, 2025 2:00 AM","Feb 14, 2025 3:00 AM",128.50,,,,,,,,,,,,,,,,
"Feb 14, 2025 3:00 AM","Feb 14, 2025 4:00 AM",127.65,,,,,,,,,,,,,,,,
"Feb 14, 2025 4:00 AM","Feb 14, 2025 5:00 AM",129.58,,,,,,,,,,,,,,,,
"Feb 14, 2025 5:00 AM","Feb 14, 2025 6:00 AM",139.59,,,,,,,,,,,,,,,,
"Feb 14, 2025 6:00 AM","Feb 14, 2025 7:00 AM",162.89,,,,,,,,,,,,,,,,
"Feb 14, 2025 7:00 AM","Feb 14, 2025 8:00 AM",227.08,,,,,,,,,,,,,,,,
"Feb 14, 2025 8:00 AM","Feb 14, 2025 9:00 AM",265.64,,,,,,,,,,,,,,,,
"Feb 14, 2025 9:00 AM","Feb 14, 2025 10:00 AM",215.11,,,,,,,,,,,,,,,,
"Feb 14, 2025 10:00 AM","Feb 14, 2025 11:00 AM",181.03,,,,,,,,,,,,,,,,
"Feb 14, 2025 11:00 AM","Feb 14, 2025 12:00 PM",163.01,,,,,,,,,,,,,,,,
"Feb 14, 2025 12:00 PM","Feb 14, 2025 1:00 PM",149.86,,,,,,,,,,,,,,,,
"Feb 14, 2025 1:00 PM","Feb 14, 2025 2:00 PM",148.61,,,,,,,,,,,,,,,,
"Feb 14, 2025 2:00 PM","Feb 14, 2025 3:00 PM",155.80,,,,,,,,,,,,,,,,
"Feb 14, 2025 3:00 PM","Feb 14, 2025 4:00 PM",175.06,,,,,,,,,,,,,,,,
"Feb 14, 2025 4:00 PM","Feb 14, 2025 5:00 PM",200.00,,,,,,,,,,,,,,,,
"Feb 14, 2025 5:00 PM","Feb 14, 2025 6:00 PM",298.91,,,,,,,,,,,,,,,,
"Feb 14, 2025 6:00 PM","Feb 14, 2025 7:00 PM",293.06,,,,,,,,,,,,,,,,
"Feb 14, 2025 7:00 PM","Feb 14, 2025 8:00 PM",225.70,,,,,,,,,,,,,,,,
"Feb 14, 2025 8:00 PM","Feb 14, 2025 9:00 PM",183.55,,,,,,,,,,,,,,,,
"Feb 14, 2025 9:00 PM","Feb 14, 2025 10:00 PM",163.79,,,,,,,,,,,,,,,,
"Feb 14, 2025 10:00 PM","Feb 14, 2025 11:00 PM",153.00,,,,,,,,,,,,,,,,
"Feb 14, 2025 11:00 PM","Feb 15, 2025 12:00 AM",140.03,,,,,,,,,,,,,,,,
"Feb 15, 2025 12:00 AM","Feb 15, 2025 1:00 AM",135.29,,,,,,,,,,,,,,,,
"Feb 15, 2025 1:00 AM","Feb 15, 2025 2:00 AM",130.34,,,,,,,,,,,,,,,,
"Feb 15, 2025 2:00 AM","Feb 15, 2025 3:00 AM",120.00,,,,,,,,,,,,,,,,
"Feb 15, 2025 3:00 AM","Feb 15, 2025 4:00 AM",118.24,,,,,,,,,,,,,,,,
"Feb 15, 2025 4:00 AM","Feb 15, 2025 5:00 AM",118.45,,,,,,,,,,,,,,,,
"Feb 15, 2025 5:00 AM","Feb 15, 2025 6:00 AM",120.37,,,,,,,,,,,,,,,,
"Feb 15, 2025 6:00 AM","Feb 15, 2025 7:00 AM",133.74,,,,,,,,,,,,,,,,
"Feb 15, 2025 7:00 AM","Feb 15, 2025 8:00 AM",148.58,,,,,,,,,,,,,,,,
"Feb 15, 2025 8:00 AM","Feb 15, 2025 9:00 AM",150.67,,,,,,,,,,,,,,,,
"Feb 15, 2025 9:00 AM","Feb 15, 2025 10:00 AM",137.01,,,,,,,,,,,,,,,,
"Feb 15, 2025 10:00 AM","Feb 15, 2025 11:00 AM",124.59,,,,,,,,,,,,,,,,
"Feb 15, 2025 11:00 AM","Feb 15, 2025 12:00 PM",118.36,,,,,,,,,,,,,,,,
"Feb 15, 2025 12:00 PM","Feb 15, 2025 1:00 PM",112.39,,,,,,,,,,,,,,,,
"Feb 15, 2025 1:00 PM","Feb 15, 2025 2:00 PM",110.01,,,,,,,,,,,,,,,,
"Feb 15, 2025 2:00 PM","Feb 15, 2025 3:00 PM",116.15,,,,,,,,,,,,,,,,
"Feb 15, 2025 3:00 PM","Feb 15, 2025 4:00 PM",128.83,,,,,,,,,,,,,,,,
"Feb 15, 2025 4:00 PM","Feb 15, 2025 5:00 PM",145.89,,,,,,,,,,,,,,,,
"Feb 15, 2025 5:00 PM","Feb 15, 2025 6:00 PM",164.54,,,,,,,,,,,,,,,,
"Feb 15, 2025 6:00 PM","Feb 15, 2025 7:00 PM",174.70,,,,,,,,,,,,,,,,
"Feb 15, 2025 7:00 PM","Feb 15, 2025 8:00 PM",164.76,,,,,,,,,,,,,,,,
"Feb 15, 2025 8:00 PM","Feb 15, 2025 9:00 PM",149.65,,,,,,,,,,,,,,,,
"Feb 15, 2025 9:00 PM","Feb 15, 2025 10:00 PM",128.31,,,,,,,,,,,,,,,,
"Feb 15, 2025 10:00 PM","Feb 15, 2025 11:00 PM",132.37,,,,,,,,,,,,,,,,
"Feb 15, 2025 11:00 PM","Feb 16, 2025 12:00 AM",124.54,,,,,,,,,,,,,,,,
"Feb 16, 2025 12:00 AM","Feb 16, 2025 1:00 AM",134.11,,,,,,,,,,,,,,,,
"Feb 16, 2025 1:00 AM","Feb 16, 2025 2:00 AM",128.90,,,,,,,,,,,,,,,,
"Feb 16, 2025 2:00 AM","Feb 16, 2025 3:00 AM",123.57,,,,,,,,,,,,,,,,
"Feb 16, 2025 3:00 AM","Feb 16, 2025 4:00 AM",119.90,,,,,,,,,,,,,,,,
"Feb 16, 2025 4:00 AM","Feb 16, 2025 5:00 AM",119.57,,,,,,,,,,,,,,,,
"Feb 16, 2025 5:00 AM","Feb 16, 2025 6:00 AM",120.18,,,,,,,,,,,,,,,,
"Feb 16, 2025 6:00 AM","Feb 16, 2025 7:00 AM",119.92,,,,,,,,,,,,,,,,
"Feb 16, 2025 7:00 AM","Feb 16, 2025 8:00 AM",127.51,,,,,,,,,,,,,,,,
"Feb 16, 2025 8:00 AM","Feb 16, 2025 9:00 AM",129.60,,,,,,,,,,,,,,,,
"Feb 16, 2025 9:00 AM","Feb 16, 2025 10:00 AM",130.49,,,,,,,,,,,,,,,,
"Feb 16, 2025 10:00 AM","Feb 16, 2025 11:00 AM",127.70,,,,,,,,,,,,,,,,
"Feb 16, 2025 11:00 AM","Feb 16, 2025 12:00 PM",124.03,,,,,,,,,,,,,,,,
"Feb 16, 2025 12:00 PM","Feb 16, 2025 1:00 PM",124.67,,,,,,,,,,,,,,,,
"Feb 16, 2025 1:00 PM","Feb 16, 2025 2:00 PM",118.77,,,,,,,,,,,,,,,,
"Feb 16, 2025 2:00 PM","Feb 16, 2025 3:00 PM",121.02,,,,,,,,,,,,,,,,
"Feb 16, 2025 3:00 PM","Feb 16, 2025 4:00 PM",129.55,,,,,,,,,,,,,,,,
"Feb 16, 2025 4:00 PM","Feb 16, 2025 5:00 PM",137.68,,,,,,,,,,,,,,,,
"Feb 16, 2025 5:00 PM","Feb 16, 2025 6:00 PM",153.98,,,,,,,,,,,,,,,,
"Feb 16, 2025 6:00 PM","Feb 16, 2025 7:00 PM",169.98,,,,,,,,,,,,,,,,
"Feb 16, 2025 7:00 PM","Feb 16, 2025 8:00 PM",160.29,,,,,,,,,,,,,,,,
"Feb 16, 2025 8:00 PM","Feb 16, 2025 9:00 PM",153.72,,,,,,,,,,,,,,,,
"Feb 16, 2025 9:00 PM","Feb 16, 2025 10:00 PM",139.34,,,,,,,,,,,,,,,,
"Feb 16, 2025 10:00 PM","Feb 16, 2025 11:00 PM",137.62,,,,,,,,,,,,,,,,
"Feb 16, 2025 11:00 PM","Feb 17, 2025 12:00 AM",131.51,,,,,,,,,,,,,,,,
"Feb 17, 2025 12:00 AM","Feb 17, 2025 1:00 AM",128.05,,,,,,,,,,,,,,,,
"Feb 17, 2025 1:00 AM","Feb 17, 2025 2:00 AM",121.06,,,,,,,,,,,,,,,,
"Feb 17, 2025 2:00 AM","Feb 17, 2025 3:00 AM",120.34,,,,,,,,,,,,,,,,
"Feb 17, 2025 3:00 AM","Feb 17, 2025 4:00 AM",125.52,,,,,,,,,,,,,,,,
"Feb 17, 2025 4:00 AM","Feb 17, 2025 5:00 AM",128.94,,,,,,,,,,,,,,,,
"Feb 17, 2025 5:00 AM","Feb 17, 2025 6:00 AM",131.54,,,,,,,,,,,,,,,,
"Feb 17, 2025 6:00 AM","Feb 17, 2025 7:00 AM",153.16,,,,,,,,,,,,,,,,
"Feb 17, 2025 7:00 AM","Feb 17, 2025 8:00 AM",204.74,,,,,,,,,,,,,,,,
"Feb 17, 2025 8:00 AM","Feb 17, 2025 9:00 AM",209.79,,,,,,,,,,,,,,,,
"Feb 17, 2025 9:00 AM","Feb 17, 2025 10:00 AM",171.30,,,,,,,,,,,,,,,,
"Feb 17, 2025 10:00 AM","Feb 17, 2025 11:00 AM",139.67,,,,,,,,,,,,,,,,
"Feb 17, 2025 11:00 AM","Feb 17, 2025 12:00 PM",117.19,,,,,,,,,,,,,,,,
"Feb 17, 2025 12:00 PM","Feb 17, 2025 1:00 PM",109.47,,,,,,,,,,,,,,,,
"Feb 17, 2025 1:00 PM","Feb 17, 2025 2:00 PM",106.78,,,,,,,,,,,,,,,,
"Feb 17, 2025 2:00 PM","Feb 17, 2025 3:00 PM",111.89,,,,,,,,,,,,,,,,
"Feb 17, 2025 3:00 PM","Feb 17, 2025 4:00 PM",132.27,,,,,,,,,,,,,,,,
"Feb 17, 2025 4:00 PM","Feb 17, 2025 5:00 PM",158.96,,,,,,,,,,,,,,,,
"Feb 17, 2025 5:00 PM","Feb 17, 2025 6:00 PM",222.92,,,,,,,,,,,,,,,,
"Feb 17, 2025 6:00 PM","Feb 17, 2025 7:00 PM",271.00,,,,,,,,,,,,,,,,
"Feb 17, 2025 7:00 PM","Feb 17, 2025 8:00 PM",215.36,,,,,,,,,,,,,,,,
"Feb 17, 2025 8:00 PM","Feb 17, 2025 9:00 PM",177.86,,,,,,,,,,,,,,,,
"Feb 17, 2025 9:00 PM","Feb 17, 2025 10:00 PM",155.19,,,,,,,,,,,,,,,,
"Feb 17, 2025 10:00 PM","Feb 17, 2025 11:00 PM",139.39,,,,,,,,,,,,,,,,
"Feb 17, 2025 11:00 PM","Feb 18, 2025 12:00 AM",129.57,,,,,,,,,,,,,,,,
"Feb 18, 2025 12:00 AM","Feb 18, 2025 1:00 AM",132.95,,,,,,,,,,,,,,,,
"Feb 18, 2025 1:00 AM","Feb 18, 2025 2:00 AM",125.00,,,,,,,,,,,,,,,,
"Feb 18, 2025 2:00 AM","Feb 18, 2025 3:00 AM",123.56,,,,,,,,,,,,,,,,
"Feb 18, 2025 3:00 AM","Feb 18, 2025 4:00 AM",117.11,,,,,,,,,,,,,,,,
"Feb 18, 2025 4:00 AM","Feb 18, 2025 5:00 AM",115.66,,,,,,,,,,,,,,,,
"Feb 18, 2025 5:00 AM","Feb 18, 2025 6:00 AM",121.93,,,,,,,,,,,,,,,,
"Feb 18, 2025 6:00 AM","Feb 18, 2025 7:00 AM",143.61,,,,,,,,,,,,,,,,
"Feb 18, 2025 7:00 AM","Feb 18, 2025 8:00 AM",190.34,,,,,,,,,,,,,,,,
"Feb 18, 2025 8:00 AM","Feb 18, 2025 9:00 AM",193.80,,,,,,,,,,,,,,,,
"Feb 18, 2025 9:00 AM","Feb 18, 2025 10:00 AM",143.53,,,,,,,,,,,,,,,,
"Feb 18, 2025 10:00 AM","Feb 18, 2025 11:00 AM",124.24,,,,,,,,,,,,,,,,
"Feb 18, 2025 11:00 AM","Feb 18, 2025 12:00 PM",109.71,,,,,,,,,,,,,,,,
"Feb 18, 2025 12:00 PM","Feb 18, 2025 1:00 PM",96.41,,,,,,,,,,,,,,,,
"Feb 18, 2025 1:00 PM","Feb 18, 2025 2:00 PM",88.53,,,,,,,,,,,,,,,,
"Feb 18, 2025 2:00 PM","Feb 18, 2025 3:00 PM",98.35,,,,,,,,,,,,,,,,
"Feb 18, 2025 3:00 PM","Feb 18, 2025 4:00 PM",110.00,,,,,,,,,,,,,,,,
"Feb 18, 2025 4:00 PM","Feb 18, 2025 5:00 PM",128.16,,,,,,,,,,,,,,,,
"Feb 18, 2025 5:00 PM","Feb 18, 2025 6:00 PM",177.61,,,,,,,,,,,,,,,,
"Feb 18, 2025 6:00 PM","Feb 18, 2025 7:00 PM",174.32,,,,,,,,,,,,,,,,
"Feb 18, 2025 7:00 PM","Feb 18, 2025 8:00 PM",155.91,,,,,,,,,,,,,,,,
"Feb 18, 2025 8:00 PM","Feb 18, 2025 9:00 PM",142.42,,,,,,,,,,,,,,,,
"Feb 18, 2025 9:00 PM","Feb 18, 2025 10:00 PM",129.41,,,,,,,,,,,,,,,,
"Feb 18, 2025 10:00 PM","Feb 18, 2025 11:00 PM",121.90,,,,,,,,,,,,,,,,
"Feb 18, 2025 11:00 PM","Feb 19, 2025 12:00 AM",114.45,,,,,,,,,,,,,,,,
"Feb 19, 2025 12:00 AM","Feb 19, 2025 1:00 AM",104.54,,,,,,,,,,,,,,,,
"Feb 19, 2025 1:00 AM","Feb 19, 2025 2:00 AM",99.29,,,,,,,,,,,,,,,,
"Feb 19, 2025 2:00 AM","Feb 19, 2025 3:00 AM",99.60,,,,,,,,,,,,,,,,
"Feb 19, 2025 3:00 AM","Feb 19, 2025 4:00 AM",97.29,,,,,,,,,,,,,,,,
"Feb 19, 2025 4:00 AM","Feb 19, 2025 5:00 AM",94.50,,,,,,,,,,,,,,,,
"Feb 19, 2025 5:00 AM","Feb 19, 2025 6:00 AM",97.48,,,,,,,,,,,,,,,,
"Feb 19, 2025 6:00 AM","Feb 19, 2025 7:00 AM",115.00,,,,,,,,,,,,,,,,
"Feb 19, 2025 7:00 AM","Feb 19, 2025 8:00 AM",149.50,,,,,,,,,,,,,,,,
"Feb 19, 2025 8:00 AM","Feb 19, 2025 9:00 AM",166.37,,,,,,,,,,,,,,,,
"Feb 19, 2025 9:00 AM","Feb 19, 2025 10:00 AM",128.76,,,,,,,,,,,,,,,,
"Feb 19, 2025 10:00 AM","Feb 19, 2025 11:00 AM",107.91,,,,,,,,,,,,,,,,
"Feb 19, 2025 11:00 AM","Feb 19, 2025 12:00 PM",89.28,,,,,,,,,,,,,,,,
"Feb 19, 2025 12:00 PM","Feb 19, 2025 1:00 PM",81.52,,,,,,,,,,,,,,,,
"Feb 19, 2025 1:00 PM","Feb 19, 2025 2:00 PM",82.74,,,,,,,,,,,,,,,,
"Feb 19, 2025 2:00 PM","Feb 19, 2025 3:00 PM",85.20,,,,,,,,,,,,,,,,
"Feb 19, 2025 3:00 PM","Feb 19, 2025 4:00 PM",90.63,,,,,,,,,,,,,,,,
"Feb 19, 2025 4:00 PM","Feb 19, 2025 5:00 PM",110.03,,,,,,,,,,,,,,,,
"Feb 19, 2025 5:00 PM","Feb 19, 2025 6:00 PM",131.28,,,,,,,,,,,,,,,,
"Feb 19, 2025 6:00 PM","Feb 19, 2025 7:00 PM",142.98,,,,,,,,,,,,,,,,
"Feb 19, 2025 7:00 PM","Feb 19, 2025 8:00 PM",144.42,,,,,,,,,,,,,,,,
"Feb 19, 2025 8:00 PM","Feb 19, 2025 9:00 PM",120.90,,,,,,,,,,,,,,,,
"Feb 19, 2025 9:00 PM","Feb 19, 2025 10:00 PM",113.75,,,,,,,,,,,,,,,,
"Feb 19, 2025 10:00 PM","Feb 19, 2025 11:00 PM",107.13,,,,,,,,,,,,,,,,
"Feb 19, 2025 11:00 PM","Feb 20, 2025 12:00 AM",99.81,,,,,,,,,,,,,,,,
"Feb 20, 2025 12:00 AM","Feb 20, 2025 1:00 AM",86.17,,,,,,,,,,,,,,,,
"Feb 20, 2025 1:00 AM","Feb 20, 2025 2:00 AM",85.20,,,,,,,,,,,,,,,,
"Feb 20, 2025 2:00 AM","Feb 20, 2025 3:00 AM",84.56,,,,,,,,,,,,,,,,
"Feb 20, 2025 3:00 AM","Feb 20, 2025 4:00 AM",83.64,,,,,,,,,,,,,,,,
"Feb 20, 2025 4:00 AM","Feb 20, 2025 5:00 AM",82.18,,,,,,,,,,,,,,,,
"Feb 20, 2025 5:00 AM","Feb 20, 2025 6:00 AM",83.84,,,,,,,,,,,,,,,,
"Feb 20, 2025 6:00 AM","Feb 20, 2025 7:00 AM",86.31,,,,,,,,,,,,,,,,
"Feb 20, 2025 7:00 AM","Feb 20, 2025 8:00 AM",110.41,,,,,,,,,,,,,,,,
"Feb 20, 2025 8:00 AM","Feb 20, 2025 9:00 AM",127.98,,,,,,,,,,,,,,,,
"Feb 20, 2025 9:00 AM","Feb 20, 2025 10:00 AM",105.87,,,,,,,,,,,,,,,,
"Feb 20, 2025 10:00 AM","Feb 20, 2025 11:00 AM",93.72,,,,,,,,,,,,,,,,
"Feb 20, 2025 11:00 AM","Feb 20, 2025 12:00 PM",87.23,,,,,,,,,,,,,,,,
"Feb 20, 2025 12:00 PM","Feb 20, 2025 1:00 PM",86.87,,,,,,,,,,,,,,,,
